
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:09:57 2019
Timers Off: Sun Dec 29 14:12:40 2019

Wall Time:      162.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | JK: K1                        :     13.300u      0.033s      8.006w     14 calls
| | | JK: K2                        :      2.450u      0.000s      1.463w     14 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.002w     14 calls
HF: Form D                          :      0.000u      0.000s      0.002w     14 calls
HF: DIIS                            :      0.133u      0.033s      0.102w     13 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.010w     13 calls
| DIISManager::extrapolate          :      0.033u      0.033s      0.026w     13 calls
| | bMatrix setup                   :      0.000u      0.000s      0.012w     13 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     13 calls
| | New vector                      :      0.017u      0.033s      0.013w     13 calls
HF: Form C                          :      0.333u      0.000s      0.196w     13 calls
DFMP2 Singles                       :      0.000u      0.000s      0.003w      1 calls
DFMP2 Aia                           :      5.483u      0.233s      3.423w      1 calls
| DFMP2 (A|mn)                      :      4.783u      0.000s      2.866w      2 calls
| DFMP2 (A|mn)C_mi                  :      0.233u      0.000s      0.148w      2 calls
| DFMP2 (A|mi)C_na                  :      0.150u      0.000s      0.077w      2 calls
| DFMP2 Aia Write                   :      0.000u      0.050s      0.023w      2 calls
DFMP2 Qia                           :      1.250u      0.100s      0.812w      1 calls
| DFMP2 Metric                      :      0.867u      0.017s      0.532w      1 calls
| DFMP2 Aia Read                    :      0.000u      0.017s      0.010w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.383u      0.000s      0.230w      1 calls
| DFMP2 Qia Write                   :      0.000u      0.050s      0.023w      1 calls
DFMP2 Energy                        :      0.950u      0.067s      0.610w      1 calls
| DFMP2 Qia Read                    :      0.000u      0.017s      0.014w      2 calls

**************************************************************************************

Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:09:57 2019
Timers Off: Sun Dec 29 14:16:35 2019

Wall Time:      398.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************
