
Host: node37.bme.utexas.edu

Timers On : Wed Apr  1 17:40:37 2020
Timers Off: Wed Apr  1 17:44:31 2020

Wall Time:      234.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JK: D                             :      0.050u      0.017s      0.006w     17 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w     17 calls
| JK: JK                            :     51.783u      3.517s      8.297w     17 calls
| | DFH: compute_JK()               :     51.783u      3.500s      8.296w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :     11.300u      0.783s      1.818w     17 calls
| | | DFH: compute_K                :     39.667u      2.350s      6.297w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.033u      0.000s      0.006w     17 calls
HF: Form D                          :      0.000u      0.000s      0.006w     17 calls
HF: DIIS                            :      1.183u      0.217s      0.211w     16 calls
| DIISManager::add_entry            :      0.150u      0.000s      0.026w     16 calls
| DIISManager::extrapolate          :      0.433u      0.167s      0.086w     16 calls
| | bMatrix setup                   :      0.200u      0.100s      0.038w     16 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w     16 calls
| | New vector                      :      0.233u      0.067s      0.046w     16 calls
HF: Form C                          :      3.017u      0.067s      0.465w     16 calls
DFMP2 Singles                       :      0.017u      0.000s      0.003w      1 calls
DFMP2 Aia                           :     20.583u      1.667s      4.134w      1 calls
| DFMP2 (A|mn)                      :     15.683u      0.333s      2.404w      1 calls
| DFMP2 (A|mn)C_mi                  :      1.533u      0.017s      0.233w      1 calls
| DFMP2 (A|mi)C_na                  :      0.733u      0.017s      0.113w      1 calls
| DFMP2 Aia Write                   :      0.217u      0.100s      0.047w      1 calls
DFMP2 iaQ                           :     10.733u      0.833s      1.776w      1 calls
| DFMP2 Metric                      :      4.917u      0.133s      0.784w      1 calls
| DFMP2 Aia Read                    :      0.150u      0.050s      0.030w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      3.883u      0.000s      0.582w      2 calls
| DFMP2 Qia Write                   :      0.233u      0.117s      0.050w      1 calls
| DFMP2 Qia Read                    :      0.050u      0.050s      0.026w      1 calls
| DFMP2 Bia Write                   :      0.217u      0.100s      0.047w      1 calls
DFMP2 aiQ                           :      0.650u      0.267s      0.157w      1 calls
DFMP2 Tij                           :     28.017u      1.600s      5.116w      1 calls
| DFMP2 Qia Read                    :      0.033u      0.033s      0.048w      2 calls
| DFMP2 Cia Read                    :      0.000u      0.050s      0.025w      1 calls
| DFMP2 I                           :     10.900u      0.083s      1.648w      1 calls
| DFMP2 T2                          :      1.283u      0.000s      0.193w      1 calls
| DFMP2 G                           :     12.000u      0.100s      1.825w      1 calls
| DFMP2 Pab                         :      2.833u      0.200s      0.458w      1 calls
| DFMP2 Gia Write                   :      0.200u      0.100s      0.043w      1 calls
DFMP2 Tab                           :     13.800u      1.017s      2.708w      1 calls
| DFMP2 Qai Read                    :      0.033u      0.050s      0.049w      2 calls
| DFMP2 I                           :     10.150u      0.000s      1.523w      1 calls
| DFMP2 T2                          :      1.633u      0.000s      0.245w      1 calls
| DFMP2 Pij                         :      0.817u      0.000s      0.124w      1 calls
DFMP2 gamma                         :      2.783u      0.283s      0.516w      1 calls
| DFMP2 Gia Read                    :      0.000u      0.050s      0.025w      1 calls
| DFMP2 Cia Read                    :      0.000u      0.033s      0.024w      1 calls
| DFMP2 g                           :      2.117u      0.000s      0.317w      1 calls
DFMP2 Gia                           :      1.250u      0.400s      0.269w      1 calls
| DFMP2 Gia Read                    :      0.017u      0.033s      0.024w      1 calls
| DFMP2 aiG Write                   :      0.183u      0.083s      0.040w      1 calls
DFMP2 AB^x                          :      1.550u      0.050s      0.385w      1 calls
DFMP2 Amn^x                         :     64.217u      1.350s     10.637w      1 calls
