
Host: node144.bme.utexas.edu

Timers On : Wed Jan  8 15:28:53 2020
Timers Off: Wed Jan  8 16:12:43 2020

Wall Time:     2629.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     11 calls
JK: JK                              :     80.150u    159.717s     15.147w     11 calls
DFH: compute_JK()                   :     80.150u    159.717s     15.147w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      9.617u      0.183s      0.587w     11 calls
DFH: compute_K                      :     60.633u    157.817s     13.865w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.033u      0.000s      0.001w     11 calls
HF: Form D                          :      0.033u      0.017s      0.002w     11 calls
HF: DIIS                            :      0.683u      0.017s      0.045w     10 calls
DIISManager::add_entry              :      0.150u      0.000s      0.009w     10 calls
DIISManager::extrapolate            :      0.283u      0.017s      0.018w     10 calls
bMatrix setup                       :      0.167u      0.000s      0.009w     10 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     10 calls
New vector                          :      0.100u      0.017s      0.008w     10 calls
HF: Form C                          :      1.500u      0.067s      0.096w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.233u      0.033s      0.147w      1 calls
DFH: initialize()                   :    183.350u     32.850s     14.823w      1 calls
| DFH: AO Construction              :     45.317u      7.383s      3.527w      1 calls
| DFH: AO-Met. Contraction          :     35.550u     19.367s      3.396w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.233u      0.000s      0.014w      1 calls
HF: Guess                           :     15.350u      0.850s      0.984w      1 calls
| SAD Guess                         :     15.083u      0.833s      0.967w      1 calls
HF: Form G                          :     80.300u    159.750s     15.156w     11 calls
| JK: D                             :      0.050u      0.017s      0.002w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     11 calls
| JK: JK                            :     80.150u    159.717s     15.147w     11 calls
| | DFH: compute_JK()               :     80.150u    159.717s     15.147w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      9.617u      0.183s      0.587w     11 calls
| | | DFH: compute_K                :     60.633u    157.817s     13.865w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.033u      0.000s      0.001w     11 calls
HF: Form D                          :      0.033u      0.017s      0.002w     11 calls
