
Host: node47.bme.utexas.edu

Timers On : Tue Mar  3 18:02:00 2020
Timers Off: Tue Mar  3 18:19:26 2020

Wall Time:     1046.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form G                          :   4193.850u    193.767s    539.350w     15 calls
| JK: D                             :      0.450u      0.000s      0.047w     15 calls
| JK: USO2AO                        :      0.283u      0.033s      0.028w     15 calls
| JK: JK                            :   4192.567u    193.733s    539.213w     15 calls
| | JK: J                           :     93.850u      0.600s      9.509w     30 calls
| | | JK: J1                        :     41.817u      0.367s      4.223w     30 calls
| | | JK: J2                        :     51.050u      0.183s      5.137w     30 calls
| | JK: K                           :   4049.583u      2.850s    407.968w     30 calls
| | | JK: K1                        :   2353.200u      0.917s    235.832w     30 calls
| | | JK: K2                        :   1696.117u      1.933s    172.115w     30 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.250u      0.000s      0.027w     15 calls
HF: Form D                          :      0.417u      0.000s      0.044w     15 calls
HF: DIIS                            :     18.167u      1.300s      1.954w     14 calls
| DIISManager::add_entry            :      1.583u      0.283s      0.184w     14 calls
| DIISManager::extrapolate          :      5.300u      0.883s      0.618w     14 calls
| | bMatrix setup                   :      2.650u      0.533s      0.322w     14 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.001w     14 calls
| | New vector                      :      2.600u      0.350s      0.295w     14 calls
HF: Form C                          :     45.733u      0.600s      4.639w     14 calls
DFMP2 Singles                       :      0.433u      0.017s      0.044w      1 calls
DFMP2 Aia                           :   1084.883u     23.567s    135.811w      1 calls
| DFMP2 (A|mn)                      :    884.967u      0.250s     88.650w      3 calls
| DFMP2 (A|mn)C_mi                  :     96.833u      0.133s      9.710w      3 calls
| DFMP2 (A|mi)C_na                  :     70.983u      0.017s      7.111w      3 calls
| DFMP2 Aia Write                   :      4.450u      3.800s      2.402w      3 calls
DFMP2 Qia                           :    603.167u      9.917s     66.172w      1 calls
| DFMP2 Metric                      :    273.517u      2.783s     27.834w      1 calls
