
Host: node37.bme.utexas.edu

Timers On : Sun Dec 29 12:30:42 2019
Timers Off: Sun Dec 29 12:30:49 2019

Wall Time:        6.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.017s      0.217w      8 calls
DFH: initialize()                   :      1.783u      0.017s      1.093w      8 calls
| DFH: AO Construction              :      0.483u      0.000s      0.298w      8 calls
| DFH: AO-Met. Contraction          :      0.183u      0.000s      0.107w      8 calls
HF: Form core H                     :      0.033u      0.017s      0.199w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      8 calls
HF: Guess                           :      0.533u      0.000s      0.322w      8 calls
| SAD Guess                         :      0.517u      0.000s      0.310w      1 calls
HF: Form G                          :      0.217u      0.000s      0.168w     82 calls
| JK: D                             :      0.000u      0.000s      0.001w     82 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     82 calls
| JK: JK                            :      0.217u      0.000s      0.163w     82 calls
| | DFH: compute_JK()               :      0.217u      0.000s      0.162w     82 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     82 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.028w     82 calls
| | | DFH: compute_K                :      0.167u      0.000s      0.133w     82 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     82 calls
HF: Form F                          :      0.000u      0.000s      0.001w     82 calls
HF: Form D                          :      0.000u      0.000s      0.001w     82 calls
HF: DIIS                            :      0.150u      0.017s      0.085w     81 calls
| DIISManager::add_entry            :      0.017u      0.000s      0.036w     74 calls
| DIISManager::extrapolate          :      0.050u      0.000s      0.011w     74 calls
| | bMatrix setup                   :      0.017u      0.000s      0.005w     74 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.002w     74 calls
| | New vector                      :      0.017u      0.000s      0.003w     74 calls
HF: Form C                          :      0.050u      0.000s      0.030w     81 calls
Grad: V T Perturb                   :      0.267u      0.017s      0.162w      8 calls
Grad: S                             :      0.000u      0.000s      0.003w      8 calls
Grad: JK                            :      5.900u      0.017s      3.802w      8 calls
| JKGrad: Amn                       :      0.833u      0.000s      0.525w      8 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      8 calls
| JKGrad: AB                        :      0.833u      0.017s      0.490w      8 calls
| JKGrad: UV                        :      0.000u      0.000s      0.008w      8 calls
| JKGrad: ABx                       :      0.583u      0.000s      0.353w      8 calls
| JKGrad: Amnx                      :      3.267u      0.000s      1.973w      8 calls
Grad: XC                            :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Sun Dec 29 12:31:26 2019
Timers Off: Sun Dec 29 12:31:36 2019

Wall Time:        9.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.333u      0.000s      0.213w      8 calls
DFH: initialize()                   :      1.733u      0.000s      1.070w      8 calls
DFH: AO Construction                :      0.483u      0.000s      0.291w      8 calls
DFH: AO-Met. Contraction            :      0.150u      0.000s      0.106w      8 calls
HF: Form core H                     :      0.050u      0.000s      0.179w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      8 calls
HF: Guess                           :      0.533u      0.017s      0.322w      8 calls
SAD Guess                           :      0.500u      0.017s      0.310w      1 calls
HF: Form G                          :      0.233u      0.000s      0.163w     80 calls
JK: D                               :      0.000u      0.000s      0.001w     80 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     80 calls
JK: JK                              :      0.217u      0.000s      0.157w     80 calls
DFH: compute_JK()                   :      0.217u      0.000s      0.157w     80 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     80 calls
DFH: compute_J                      :      0.033u      0.000s      0.028w     80 calls
DFH: compute_K                      :      0.183u      0.000s      0.127w     80 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     80 calls
HF: Form F                          :      0.000u      0.000s      0.001w     80 calls
HF: Form D                          :      0.017u      0.000s      0.001w     80 calls
HF: DIIS                            :      0.067u      0.017s      0.081w     79 calls
DIISManager::add_entry              :      0.000u      0.000s      0.034w     72 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.011w     72 calls
bMatrix setup                       :      0.017u      0.000s      0.004w     72 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     72 calls
New vector                          :      0.000u      0.000s      0.003w     72 calls
HF: Form C                          :      0.083u      0.000s      0.029w     79 calls
Grad: V T Perturb                   :      0.267u      0.033s      0.162w      8 calls
Grad: S                             :      0.000u      0.000s      0.003w      8 calls
Grad: JK                            :      5.783u      0.017s      3.672w      8 calls
JKGrad: Amn                         :      0.800u      0.000s      0.516w      8 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      8 calls
JKGrad: AB                          :      0.817u      0.000s      0.478w      8 calls
JKGrad: UV                          :      0.000u      0.017s      0.008w      8 calls
JKGrad: ABx                         :      0.567u      0.000s      0.344w      8 calls
JKGrad: Amnx                        :      3.200u      0.000s      1.923w      8 calls
Grad: XC                            :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.333u      0.000s      0.213w      8 calls
DFH: initialize()                   :      1.733u      0.000s      1.070w      8 calls
| DFH: AO Construction              :      0.483u      0.000s      0.291w      8 calls
| DFH: AO-Met. Contraction          :      0.150u      0.000s      0.106w      8 calls
HF: Form core H                     :      0.050u      0.000s      0.179w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      8 calls
HF: Guess                           :      0.533u      0.017s      0.322w      8 calls
| SAD Guess                         :      0.500u      0.017s      0.310w      1 calls
HF: Form G                          :      0.233u      0.000s      0.163w     80 calls
| JK: D                             :      0.000u      0.000s      0.001w     80 calls
